name,category_id,price,compare_price,description,sku,xs_stock,s_stock,m_stock,l_stock,xl_stock,xxl_stock
Vintage Wave Oversized Tee,1,499,699,Premium 240GSM drop-shoulder fit. Ribbed crew neck.,AT-B001,5,10,15,12,8,4
Urban Drift Graphic Print,2,399,599,Bold street art print on heavyweight cotton.,AT-B002,0,5,10,10,5,2
Classic Cream Essential,3,299,449,Ultra-soft plain tee. Essential wardrobe staple.,AT-B003,10,15,20,18,12,6
Cobalt Acid Wash Tee,4,549,749,Unique hand-dyed acid wash. Each piece is one-of-a-kind.,AT-B004,3,8,10,8,5,2
Minimal Polo Collar,5,449,649,Clean polo collar tee. Premium pique fabric.,AT-B005,5,10,12,10,8,3
Dark Crop Tee,6,349,499,Cropped boxy fit. Heavyweight 260GSM cotton.,AT-B006,5,8,10,8,5,2
Storm Oversized Drop,1,529,729,Boxy drop-shoulder silhouette. Pre-washed softness.,AT-B007,4,8,12,10,6,3
Celestial Print Tee,2,449,649,Intricate all-over celestial print. Limited edition.,AT-B008,0,4,8,8,4,1
Slate Grey Essential,3,299,449,Lightweight comfort. 200GSM ringspun cotton.,AT-B009,8,12,18,15,10,5
Rust Acid Wash Vintage,4,579,779,Deep rust tones. Enzyme-washed finish.,AT-B010,2,6,8,7,4,2
